,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{2: [0, 1]}",24,"[(25, 31), (25, 46), (29, 41), (29, 33), (29, 49), (27, 32), (27, 47), (31, 46), (41, 49), (33, 49), (32, 47), (12, 21), (10, 18), (9, 17), (23, 41), (33, 41), (12, 37), (30, 35), (5, 30), (5, 35), (36, 44), (6, 14), (16, 45), (15, 37)]","[[[19, 1], [19, 10]], [[19, 1], [19, 4]], [[6, 1], [6, 16]], [[6, 1], [6, 10]], [[6, 1], [6, 4]], [[5, 1], [5, 10]], [[5, 1], [5, 4]], [[19, 10], [19, 4]], [[6, 16], [6, 4]], [[6, 10], [6, 4]], [[5, 10], [5, 4]], [[15, 7], [15, 5]], [[13, 7], [13, 5]], [[12, 7], [12, 5]], [[6, 19], [6, 16]], [[6, 10], [6, 16]], [[15, 7], [15, 14]], [[8, 18], [8, 15]], [[8, 9], [8, 18]], [[8, 9], [8, 15]], [[9, 14], [9, 12]], [[10, 11], [10, 17]], [[18, 13], [18, 12]], [[15, 13], [15, 14]]]"
1,"{1: [0], 2: [1]}",65,"[(24, 25), (4, 29), (21, 27), (19, 27), (18, 27), (17, 27), (2, 46), (2, 49), (2, 47), (24, 46), (4, 49), (21, 47), (19, 47), (18, 47), (17, 47), (21, 22), (19, 22), (18, 22), (17, 22), (21, 35), (21, 32), (3, 21), (19, 36), (19, 32), (3, 19), (16, 18), (18, 32), (3, 18), (17, 45), (17, 44), (17, 32), (3, 17), (14, 32), (6, 32), (14, 33), (6, 33), (4, 12), (4, 10), (4, 9), (13, 24), (12, 24), (10, 24), (9, 24), (13, 34), (12, 35), (12, 34), (10, 16), (10, 34), (9, 45), (9, 44), (9, 34), (14, 34), (6, 34), (16, 30), (30, 45), (35, 37), (15, 35), (5, 36), (5, 44), (39, 44), (14, 31), (6, 31), (14, 42), (6, 43), (39, 45)]","[[[7, 19], [19, 1]], [[7, 6], [6, 1]], [[15, 5], [5, 1]], [[14, 5], [5, 1]], [[13, 5], [5, 1]], [[12, 5], [5, 1]], [[4, 2], [19, 4]], [[4, 2], [6, 4]], [[4, 2], [5, 4]], [[7, 19], [19, 4]], [[7, 6], [6, 4]], [[15, 5], [5, 4]], [[14, 5], [5, 4]], [[13, 5], [5, 4]], [[12, 5], [5, 4]], [[15, 5], [5, 19]], [[14, 5], [5, 19]], [[13, 5], [5, 19]], [[12, 5], [5, 19]], [[15, 5], [8, 15]], [[15, 5], [5, 10]], [[5, 6], [15, 5]], [[14, 5], [9, 14]], [[14, 5], [5, 10]], [[5, 6], [14, 5]], [[18, 13], [13, 5]], [[13, 5], [5, 10]], [[5, 6], [13, 5]], [[12, 5], [18, 12]], [[12, 5], [9, 12]], [[12, 5], [5, 10]], [[5, 6], [12, 5]], [[10, 17], [5, 10]], [[10, 11], [5, 10]], [[10, 17], [6, 10]], [[10, 11], [6, 10]], [[7, 6], [15, 7]], [[7, 6], [13, 7]], [[7, 6], [12, 7]], [[16, 7], [7, 19]], [[15, 7], [7, 19]], [[13, 7], [7, 19]], [[12, 7], [7, 19]], [[16, 7], [7, 10]], [[15, 7], [8, 15]], [[15, 7], [7, 10]], [[13, 7], [18, 13]], [[13, 7], [7, 10]], [[12, 7], [18, 12]], [[12, 7], [9, 12]], [[12, 7], [7, 10]], [[10, 17], [7, 10]], [[10, 11], [7, 10]], [[18, 13], [8, 18]], [[8, 18], [18, 12]], [[8, 15], [15, 14]], [[15, 13], [8, 15]], [[8, 9], [9, 14]], [[8, 9], [9, 12]], [[12, 16], [9, 12]], [[10, 17], [19, 10]], [[10, 11], [19, 10]], [[10, 17], [17, 20]], [[10, 11], [11, 20]], [[12, 16], [18, 12]]]"
2,"{0: [1], 1: [0], 2: [0]}",16,"[(7, 25, 28), (0, 25, 26), (6, 7, 28), (7, 28, 29), (7, 27, 28), (0, 26, 29), (0, 26, 27), (0, 2, 26), (0, 1, 26), (8, 46, 48), (6, 8, 48), (8, 48, 49), (8, 47, 48), (20, 21, 40), (19, 20, 40), (18, 20, 40)]","[[[1, 11], [19, 1], [11, 1]], [[1, 2], [19, 1], [2, 1]], [[10, 11], [1, 11], [11, 1]], [[1, 11], [11, 1], [6, 1]], [[1, 11], [5, 1], [11, 1]], [[1, 2], [2, 1], [6, 1]], [[1, 2], [2, 1], [5, 1]], [[1, 2], [4, 2], [2, 1]], [[1, 2], [3, 2], [2, 1]], [[4, 11], [19, 4], [11, 4]], [[10, 11], [4, 11], [11, 4]], [[4, 11], [11, 4], [6, 4]], [[4, 11], [5, 4], [11, 4]], [[16, 5], [15, 5], [5, 16]], [[14, 5], [16, 5], [5, 16]], [[13, 5], [16, 5], [5, 16]]]"
3,"{1: [0], 2: [0, 1]}",17,"[(23, 25, 29), (22, 25, 27), (3, 27, 29), (23, 46, 49), (22, 46, 47), (3, 47, 49), (22, 31, 32), (3, 22, 23), (19, 21, 37), (15, 18, 21), (3, 32, 33), (23, 31, 33), (4, 23, 24), (4, 33, 34), (24, 31, 34), (9, 13, 39), (10, 12, 15)]","[[[6, 19], [19, 1], [6, 1]], [[5, 19], [19, 1], [5, 1]], [[5, 6], [5, 1], [6, 1]], [[6, 19], [19, 4], [6, 4]], [[5, 19], [19, 4], [5, 4]], [[5, 6], [5, 4], [6, 4]], [[5, 19], [19, 10], [5, 10]], [[5, 6], [5, 19], [6, 19]], [[14, 5], [15, 5], [15, 14]], [[15, 13], [13, 5], [15, 5]], [[5, 6], [5, 10], [6, 10]], [[6, 19], [19, 10], [6, 10]], [[7, 6], [6, 19], [7, 19]], [[7, 6], [6, 10], [7, 10]], [[7, 19], [19, 10], [7, 10]], [[12, 7], [16, 7], [12, 16]], [[13, 7], [15, 7], [15, 13]]]"
4,"{1: [2], 2: [0, 1]}",8,"[(7, 28, 43), (20, 27, 40), (2, 8, 48), (8, 43, 48), (20, 40, 47), (20, 22, 40), (13, 20, 40), (20, 32, 40)]","[[[1, 11], [11, 1], [11, 20]], [[16, 5], [5, 1], [5, 16]], [[4, 2], [4, 11], [11, 4]], [[4, 11], [11, 20], [11, 4]], [[16, 5], [5, 16], [5, 4]], [[16, 5], [5, 19], [5, 16]], [[16, 7], [16, 5], [5, 16]], [[16, 5], [5, 10], [5, 16]]]"
5,"{0: [2], 1: [2], 2: [0, 1]}",2,"[(7, 8, 28, 48), (0, 7, 26, 28)]","[[[1, 11], [4, 11], [11, 1], [11, 4]], [[1, 2], [1, 11], [2, 1], [11, 1]]]"
6,"{1: [0], 2: [0]}",17,"[(1, 2), (22, 24), (17, 21), (18, 19), (17, 19), (17, 18), (32, 34), (3, 4), (39, 41), (12, 13), (10, 13), (9, 12), (9, 10), (36, 37), (44, 45), (42, 43), (15, 16)]","[[[3, 2], [4, 2]], [[5, 19], [7, 19]], [[12, 5], [15, 5]], [[13, 5], [14, 5]], [[12, 5], [14, 5]], [[12, 5], [13, 5]], [[5, 10], [7, 10]], [[5, 6], [7, 6]], [[12, 16], [6, 16]], [[15, 7], [16, 7]], [[13, 7], [16, 7]], [[12, 7], [15, 7]], [[12, 7], [13, 7]], [[9, 14], [15, 14]], [[9, 12], [18, 12]], [[17, 20], [11, 20]], [[15, 13], [18, 13]]]"
7,"{0: [1], 1: [0], 2: [0, 1]}",1,"[(17, 20, 39, 40)]","[[[12, 5], [16, 5], [12, 16], [5, 16]]]"
8,"{0: [1], 1: [2], 2: [0, 1]}",1,"[(3, 20, 40, 41)]","[[[5, 6], [16, 5], [5, 16], [6, 16]]]"
9,"{0: [1], 1: [2], 2: [0]}",1,"[(4, 13, 41)]","[[[7, 6], [16, 7], [6, 16]]]"
